,Unnamed: 0,lien_http,note,Nb_votes,Nb_carnets,Titre,Temps,Niveau,eco,nb_part,ingrédients
433,433,https://www.marmiton.org/recettes/recette_galette-de-pommes-de-terre-facon-pizza_347192.aspx,4.2,13.0,11000.0,Galette de pommes de terre façon pizza,55 min,très facile,bon marché,6.0,"['1 kg de pomme de terre crues', '1 cuillère à café de sel', ""1 jaune d'oeuf"", ""2 cuillères à soupe d'origan"", ""4 cuillères à soupe d'huile d'olive"", '20 cl de sauce tomate', '3 tranches de jambon blanc', '1 boule de mozzarella', '200 g de champignon de Paris', ""2 cuillères à soupe d'origan""]"
434,434,https://www.marmiton.org/recettes/recette_les-sucettes-de-noel-de-geraldine_529493.aspx,5.0,1.0,0.0,Les sucettes de Noël de Géraldine,2h25,très facile,bon marché,6.0,"['120 g de farine', '1 cuillère à café de levure chimique', '70 g de sucre', 'Extrait de vanille liquide', '2 oeufs', '100 g de beurre fondu', '100 g de chocolat noir', '100 g de chocolat au lait', ""2 cuillères à soupe d'huile de coco"", '50 g de chocolat blanc', 'Perles argentées']"
435,435,https://www.marmiton.org/recettes/recette_les-sucettes-de-noel-de-geraldine_529493.aspx,5.0,1.0,0.0,Les sucettes de Noël de Géraldine,2h25,très facile,bon marché,6.0,"['120 g de farine', '1 cuillère à café de levure chimique', '70 g de sucre', 'Extrait de vanille liquide', '2 oeufs', '100 g de beurre fondu', '100 g de chocolat noir', '100 g de chocolat au lait', ""2 cuillères à soupe d'huile de coco"", '50 g de chocolat blanc', 'Perles argentées']"
436,436,https://www.marmiton.org/recettes/recette_pate-sans-oeufs-pour-galettes-de-sarrasin_64378.aspx,4.5,25.0,1500.0,Pâte sans oeufs pour galettes de sarrasin,35 min,facile,bon marché,12.0,"['300 g de farine de sarrasin', 'Gros sel', 'Eau de source']"
437,437,https://www.marmiton.org/recettes/recette_gateau-aux-10-desserts-de-noel_334934.aspx,3.0,1.0,163.0,Gâteau aux 10 desserts de Noël,1 h,Niveau moyen,Coût moyen,6.0,"['400 g de farine', '120 g de sucre roux', '4 oeufs entiers', '1 paquet de levure (10 g)', '240 g de beurre', '1/2 poire Abatte épluchée', '1/2 pomme rouge épluchée', '6 noix émiettées', '15 amandes émiettées', '20 noisettes émiettées', '2 figues sèches coupées en petits dés', '4 dattes coupées en dés', '3 cuillères à soupe de raisins secs', 'Nougat Noir et Blanc émiettés']"
438,438,https://www.marmiton.org/recettes/recette_galettes-de-saumon-a-la-nicoise_35462.aspx,5.0,2.0,79.0,Galettes de saumon à la niçoise,1 h,très facile,bon marché,4.0,"['4 pommes de terre', '300 g de saumon frais ou en boîte', '1 oeuf', ""6 tomates séchées conservées dans l'huile"", '8 olives noires', ""1/2 gousse d'ail écrasée"", ""3 cuillères à soupe d'huile d'olive"", '2 cuillères à soupe de basilic frais ou congelé', '1 pointe de couteau de piment de cayenne']"
439,439,https://www.marmiton.org/recettes/recette_buche-de-noel-au-carambars-et-chocolat_222116.aspx,4.3,4.0,648.0,Bûche de Noël au carambars et chocolat,30 min,Niveau moyen,bon marché,6.0,"['4 oeufs', '150 g de sucre en poudre', '36 g de farine + 36 g de maïzena', '2 sachets de sucre vanillé', '1 cuillère à café de levure', 'Beurre', '15 carambars©', '20 cl de crème liquide', '200 g de chocolat noir']"
440,440,https://www.marmiton.org/recettes/recette_gateau-de-noel-a-la-cannelle_342851.aspx,0.0,0.0,376.0,Gâteau de noël à la cannelle,45 min,facile,bon marché,6.0,"['140 g de farine', '20 g de maïzena', '120 g de sucre roux en poudre', '1 cuillère à café de cannelle', '120 g de beurre', '40 g de fromage blanc', '4 cuillères à soupe de crème liquide', '3 pommes', '1 poignée de raisin corynthe', '2 oeufs']"
441,441,https://www.marmiton.org/recettes/recette_galette-des-rois-aux-pommes-gourmandes_85453.aspx,4.6,7.0,832.0,Galette des rois aux pommes gourmandes,40 min,très facile,bon marché,6.0,"['2 pâtes feuilletées', '500 g de compote de pomme (plus ou moins selon les goûts)', '4 pommes', ""1 cuillère à café d'eau"", '15 g de beurre']"
442,442,https://www.marmiton.org/recettes/recette_buche-de-noel-a-la-mangue_112722.aspx,3.9,9.0,686.0,Bûche de noël à la mangue,1 h,facile,Coût moyen,6.0,"['2 mangues bien mûres', '1 citron', '3 oeufs', '30 g de beurre', '3 cuillères à soupe de lait', '15 cl de crème liquide', '200 g de chocolat blanc', '40 g de noix de coco rapée', '75 g de sucre', '2 sachets de sucre vanillé', '1 cuillère à café de levure', '75 g de farine']"
